"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"75","19","19029","2018","01902918B0002","90","2","SCI PUY DE RHODES",,"82243389200012",,,,"Rhodes",,"19500","Branceilles",,"100",,,,"Rhodes",,"19500","Branceilles",,"257B",,,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,30,0,0,0,"4",2018-06-30,,
"75","19","19031","2018","01903118A0007","90","2",,"SC PRAGIR","44836025500021","23",,"RUE SAINT PIERRE",,,"92200","NEUILLY-SUR-SEINE",,"100","10",,"RUE CHARLES GOBERT",,,"19100","BRIVE-LA-GAILLARDE",,"8BI","9BI",,2,1204,,,,30,10,10,5,5,0,0,0,60,60,,"1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,100,3258,0,100,0,"14",2018-06-30,"2018-06-05",
"75","19","19031","2018","01903118A0044","32","2","DE LA SOURCE","SCI DE LA SOURCE","48170934300018","137",,"RUE ROMAIN ROLLAND",,,"19100","BRIVE-LA-GAILLARDE",,"100","8",,"RUE DU GENERAL DESBRULYS",,,"19100","BRIVE-LA-GAILLARDE",,"333DI",,,2,588,,,,0,0,4,1,0,0,0,0,5,5,"3","1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,499,0,0,0,"7",2018-06-30,"2018-06-26",
"75","19","19031","2018","01903118A0059","90","2",,"COPROD","30959815900031",,,"PLACE DE VERDUN",,,"19200","USSEL",,"100",,,"RUE TOULOUSE LAUTREC",,,"19100","BRIVE-LA-GAILLARDE",,"314CD","316CD","317CD",1,3200,,,,0,0,6,3,0,0,0,9,0,9,"2",,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,732,0,0,0,"7",2018-06-30,,
"75","19","19031","2018","01903118A0061","90","2",,"SCI AXAR","83954109100014",,,"LE MONS",,,"19220","AURIAC",,"100","15",,"RUE DES MIGNARDES",,,"19100","BRIVE-LA-GAILLARDE",,"1041AS",,,1,455,,,,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,42,164,0,0,0,"4",2018-06-30,,
"75","19","19031","2018","01903118A0065","90","2",,"SCI CONDOR","43969530500011",,,"LES BOLES",,,"19360","MALEMORT-SUR-CORREZE",,"100","70",,"AVENUE DU 18 JUIN",,,"19100","BRIVE-LA-GAILLARDE",,"216AE","217AE",,1,1696,,,,0,0,6,0,0,0,0,6,0,6,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,426,0,0,0,"7",2018-06-30,,
"75","19","19107","2018","01910718A0006","90","2",,"SCI INES IMMOBILIER","47949658000016",,,,"LES PAILLARDS",,"19600","LARCHE",,"100",,,,"LES PAILLARDS",,"19600","LARCHE",,"55AL",,,1,2520,,,,0,0,0,1,0,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,97,0,0,0,"5",2018-06-30,,
"75","19","19147","2018","01914718A0005","90","2","SCI SOMAGRIFF","SCI SOMAGRIFF","35073804300024",,,,"LE GRIFFOLET",,"19270","USSAC",,"100",,,,"A FOUGERES",,"19600","NESPOULS",,"620A","621A","622A",1,4174,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,60,0,338,70,0,"12",2018-06-30,,
"75","19","19207","2018","01920718T0006","80","2",,"LA CLAUZADE","809205065",,,"LA CLAUZADE",,,"19330","SAINT-GERMAIN-LES-VERGNES",,"100",,,"LA CLAUZADE",,,"19330","SAINT-GERMAIN-LES-VERGNES",,"0543D","0637D","1001D",2,5900,,,,0,0,0,0,0,0,0,0,0,0,,"2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,125,0,0,"10",2018-06-30,"2018-07-02",
"75","19","19211","2018","01921118T0002","90","2","SOCIETE","LES SEPTS PEYRUSSIENS","83144951700018",,,"SOURZAT",,,"19560","ST HILAIRE PEYROUX",,"100",,,,,,"19560","SAINT-HILAIRE-PEYROUX",,"0249AB",,,1,1301,,,,0,0,0,0,0,1,0,1,0,1,"3",,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,208,0,0,"12",2018-06-30,,
"75","19","19272","2018","01927218T0018","80","2",,"SCI A J C D","383471158",,,"PAR MR DUQUAY ALAIN LE VER",,,"19330","SAINT MEXANT",,"100",,,"3 RUE DES JARDINS",,,"19000","TULLE",,"0655BV","0657BV","0660BV",2,1357,,,,0,0,0,0,0,0,0,0,0,0,,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48,0,94,0,0,"14",2018-06-30,"2018-07-04",
"27","21","21054","2018","02105418B0041","90","2","SARL","BEAUNE IMMO ORIENTATION","82503133900013","37",,"rue Elsa Triolet","PARC VALMY",,"21000","DIJON",,"100","5",,"Boulevard Perpreuil",,,"21200","BEAUNE",,"0004AP",,,1,377,,,,0,0,0,0,0,0,0,0,0,0,"2",,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,755,48,0,0,0,"4",2018-06-30,,
"27","21","21191","2018","02119118B0003","90","2","Commune de Corcelles","GALTIE","21210191900018","8",,"rue de l'Eglise",,,"21910","Corcelles-les-Citeaux",,"100","10",,"RUE DE L EGLISE",,,"21910","Corcelles-les-Citeaux",,"1AB",,,1,4800,,,,0,0,0,0,0,0,0,1,0,1,"1",,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,60,56,45,0,60,"12",2018-06-30,,
"27","21","21367","2018","02136718S0002","90","2",,,,"2D",,"Rue du Four Banal",,,"21110","TART LE HAUT",,"100","20",,"Chemin du Fiaunai",,,"21130","Magny-Montarlot",,"374D",,,1,404,,,,0,0,0,0,1,0,0,1,0,1,"1",,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,108,0,0,0,"5",2018-06-30,,
"27","21","21536","2018","02153618E0001","90","2",,,,"34","RUE","de la CRAA",,,"21260","Sacquenay",,"100",,,"VOIE DE SELONGEY","LA GOILLE",,"21260","Sacquenay",,"93ZP",,,1,37785,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1445,0,0,0,"4",2018-06-30,,
"27","21","21573","2016","02157316E0001","80","2","SCI DU CLOS CARNOT",,"51487417100010","28","RUE","CARNOT",,,"21440","Saint-Seine-l Abbaye",,"100","28","RUE","CARNOT",,,"21440","Saint-Seine-l Abbaye",,"22AC",,,3,1708,,,,0,0,0,0,0,0,0,0,0,0,,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,425,13,0,0,0,"4",2018-06-30,"2016-09-05","2017-10-22"
"27","21","21590","2018","02159018B0003","10","2",,"SARL Simon BIZE et Fils","39830061600016","10",,"Rue Chanoine Donin",,,"21420","SAVIGNY-LES-BEAUNE",,"100","1",,"Allee des Tilleuls",,,"21420","SAVIGNY-LES-BEAUNE",,"493AD","652AD",,2,757,,,,0,0,0,0,0,0,0,1,0,1,,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,328,28,0,0,0,"14",2018-06-30,"2018-06-05",
"27","21","21611","2018","02161118E0004","90","2",,,,"13",,"rue des Tanneries",,,"21540","SOMBERNON",,"100","32",,"RUE FERDINAND MERCUSOT",,,"21540","SOMBERNON",,"0230AB","0251AB",,1,0,,,,0,0,0,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,44,50,0,29,0,"14",2018-06-30,,
"27","21","21625","2018","02162518B0003","90","2",,,,"1","PL","de la Fontaine",,,"21220","Ternant",,"100","1","RUE","ruelle de l eglise",,,"21220","Ternant",,"99E",,,1,0,,,,0,2,0,0,0,0,0,0,0,2,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,65,39,0,0,0,"7",2018-06-30,,
"53","22","22009","2018","02200918A0002","43","2","LA COMMUNE DE LE BODEO",,"21220009100016","10","RUE","DE L EGLISE",,,"22320","Le Bodeo",,"100","16-18","RUE","DE L EGLISE",,,"22320","Le Bodeo",,"61ZK","57ZK","842B",2,2034,,,,0,0,0,0,0,0,0,2,0,2,,"2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,236,0,0,"10",2018-06-30,"2018-06-26",
"53","22","22044","2018","02204418Q0004","90","2",,,,"4","Rue","du Freche",,,"22400","COETMIEUX",,"100",,,"Le Clos Colas",,,"22400","COETMIEUX",,"0194ZC",,,1,1680,,,,0,0,0,1,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,113,0,0,0,"5",2018-06-30,,
"53","22","22054","2018","02205418Q0014","10","2",,,,"38","Avenu","Jules Verne",,,"49220","LE LION D'ANGERS",,"100","35","Rue","du Tertre Gicquel",,,"22430","ERQUY",,"0570AC",,,2,1000,,,,0,0,0,0,1,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,133,0,0,0,"5",2018-06-30,"2018-06-06",
"53","22","22054","2018","02205418Q0015","10","2",,,,"19",,"La Rabine",,,"35850","ROMILLE",,"100","16","Rue","du Nord des Carrieres",,,"22430","ERQUY",,"0614AD",,,2,1150,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,142,0,0,0,"5",2018-06-30,"2018-06-07",
